Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Czynsz,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Winda,Dzielnica,Cena [zł/m²],Balkon,Ogródek,Taras,Miejsce parkingowe/Garaż,Domofon/Wideofon,Teren zamknięty,Monitoring/Ochrona,pralka,lodówka,meble,telewizor,piekarnik,zmywarka,kuchenka,Klimatyzacja
"ul. Warneńska, Stegny, Mokotów, Warszawa, mazowieckie",549000.0,42.5,spółdzielcze wł. prawo do lokalu,2,do remontu,3,450.0,miejskie,wtórny,biuro nieruchomości,1973,blok,0,Mokotów,12918.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Zygmunta Hübnera, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",999000.0,37.5,pełna własność,2,do zamieszkania,5,600.0,miejskie,wtórny,biuro nieruchomości,2023,apartamentowiec,1,Żoliborz,26640.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Stary Mokotów, Mokotów, Warszawa, mazowieckie",1004150.0,52.85,pełna własność,2,do remontu,1,680.0,miejskie,wtórny,prywatny,1962,kamienica,0,Mokotów,19000.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"ul. Karola Irzykowskiego, Jelonki Północne, Bemowo, Warszawa, mazowieckie",778000.0,62.0,pełna własność,3,do remontu,3,900.0,miejskie,wtórny,biuro nieruchomości,1980,blok,0,Bemowo,12548.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Orląt Lwowskich, Niedźwiadek, Ursus, Warszawa, mazowieckie",799000.0,62.2,spółdzielcze wł. prawo do lokalu,4,do zamieszkania,3,1000.0,miejskie,wtórny,biuro nieruchomości,1977,blok,0,Ursus,12846.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nowolipki, Wola, Warszawa, mazowieckie",995000.0,63.38,pełna własność,3,do zamieszkania,0,650.0,miejskie,wtórny,biuro nieruchomości,1952,kamienica,0,Wola,15699.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ul. Dobra 4, Powiśle, Śródmieście, Warszawa, mazowieckie",1498000.0,50.0,pełna własność,3,do zamieszkania,1,700.0,miejskie,wtórny,biuro nieruchomości,1925,kamienica,0,Śródmieście,29960.0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
"ul. Warecka, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",940000.0,40.37,pełna własność,2,do zamieszkania,7,460.0,miejskie,wtórny,biuro nieruchomości,1958,blok,1,Śródmieście,23285.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",735000.0,35.9,pełna własność,2,do zamieszkania,2,560.0,miejskie,wtórny,biuro nieruchomości,1965,blok,1,Śródmieście,20474.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ul. Marywilska, Żerań, Białołęka, Warszawa, mazowieckie",920000.0,59.28,pełna własność,3,do zamieszkania,5,884.0,miejskie,wtórny,biuro nieruchomości,2020,blok,1,Białołęka,15520.0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0
